id,name,dir,county,town,latitude and longitude,loc
0,八斗子海濱,"25°08'37.0""N 121°47'58.6""E",基隆市,中山區,"25.143623, 121.799603",基隆市中正區八斗子
1,基隆港,"25°08'20.1""N 121°45'03.2""E",基隆市,中正區,"25.138918, 121.750880",基隆市中正區
2,望幽谷,"25°08'45.6""N 121°47'51.1""E",基隆市,中正區,"25.146003, 121.797514",基隆市中正區八斗子
3,和平島,"25°09'29.0""N 121°46'05.0""E",基隆市,中正區,"25.158066, 121.768055",基隆市中正區平一路360號
4,海門天險,"25°08'20.3""N 121°45'23.2""E",基隆市,中正區,"25.138957, 121.756437",基隆市中正區壽山路
5,基隆中正公園,"25°07'59.9""N 121°45'02.3""E",基隆市,中正區,"25.133298, 121.750641",基隆市中正區壽山路
6,外木山海岸,"25°09'50.0""N 121°43'13.3""E",基隆市,中正區,"25.163888, 121.720352",基隆市中山區湖海路一段
7,碧砂漁港,"25°08'41.2""N 121°47'08.1""E",基隆市,中正區,"25.144775, 121.785582",基隆市中正區北寧路211號
8,基隆廟口小吃,"25°07'43.2""N 121°44'35.0""E",基隆市,仁愛區,"25.128678, 121.743063",基隆市仁愛區仁三路和愛四路
9,基隆七堵賞桐懷舊之旅, 
10,富民親水公園(瑪西桐花步道),"25°7'59.56"",121°40'25.57""",基隆市,七堵區,"25.133222, 121.673778",基隆市七堵區瑪陵坑大華三路
11,七堵鐵道紀念公園(舊七堵火車前站) ,"25°5'50.64"",121°42'57.46""",基隆市,七堵區,"25.097389, 121.715972",基隆市七堵區光明路23號
12,陽明海洋文化藝術館,"25°7'57.61"",121°44'23.96""",基隆市,仁愛區,"25.132667, 121.740000",基隆市仁愛區港西街4號
13,基隆廟口夜市,"25°7'41.41"",121°44'36.56""",基隆市,仁愛區,"25.128167, 121.743500",基隆市仁愛區仁三路和愛四路
14,白米甕砲台,"25°9'19.69"",121°44'32.93""",基隆市,中山區,"25.155472, 121.742472",基隆市中山區太白里光華路37巷
15,仙洞巖,"25°8'41.03"",121°44'54.60""",基隆市,中山區,"25.144722, 121.748500",基隆市中山區仙洞里
